Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,0
Variable 6,"-0,3"
Variable 6,"-0,5"
Variable 6,"-0,6"
Variable 6,-1
Variable 6,-1
Variable 6,"-1,4"
Variable 6,"-1,7"
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,-2
Variable 6,"-1,9"
Variable 6,"-1,9"
Variable 6,"-1,5"
Variable 6,"-1,5"
Variable 6,"-0,8"
Variable 6,"-0,8"
Variable 6,"-0,2"
Variable 6,"-0,2"
Variable 6,"0,1"
Variable 6,"0,1"
Variable 6,"0,1"
Variable 6,"0,1"
Variable 6,"0,1"
Variable 6,"0,1"
Variable 6,"0,1"
Variable 6,"0,1"
Variable 6,"0,1"
Variable 6,"-0,2"
Variable 6,"-0,2"
Variable 6,"-0,6"
Variable 6,"-0,6"
Variable 6,"-0,9"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,"-1,2"
Variable 6,2
